Chr	Position	Chr_Pos	ModStatus	CMC	Mod
18S	1305	18S_1305	Unm	Unm	No
18S	1306	18S_1306	Unm	Unm	No
18S	1307	18S_1307	Unm	Unm	No
18S	1308	18S_1308	Unm	Unm	No
18S	1309	18S_1309	Unm	Unm	No
18S	1310	18S_1310	Unm	Unm	No
18S	1311	18S_1311	Unm	Unm	No
18S	1312	18S_1312	Unm	Unm	No
18S	1313	18S_1313	Unm	Unm	Maybe
18S	1314	18S_1314	Unm	Unm	Maybe
18S	1315	18S_1315	Unm	Unm	Maybe
18S	1316	18S_1316	Unm	Unm	Maybe
18S	1317	18S_1317	Unm	Unm	Maybe
18S	1318	18S_1318	Unm	Unm	Maybe
18S	1319	18S_1319	Unm	Unm	No
18S	1320	18S_1320	Unm	Unm	No
18S	1321	18S_1321	Unm	Unm	No
18S	1322	18S_1322	Unm	Unm	No
18S	1323	18S_1323	Unm	Unm	No
18S	1324	18S_1324	Unm	Unm	No
18S	1325	18S_1325	Unm	Unm	No
18S	1326	18S_1326	Unm	Unm	No
18S	1327	18S_1327	Unm	Unm	No
18S	1328	18S_1328	Unm	Unm	No
18S	1329	18S_1329	Unm	Unm	No
18S	1330	18S_1330	Unm	Unm	No
18S	1331	18S_1331	Unm	Unm	No
18S	1332	18S_1332	Unm	Unm	No
18S	1333	18S_1333	Unm	Unm	No
18S	1334	18S_1334	Unm	Unm	No
18S	1335	18S_1335	Unm	Unm	No
18S	1336	18S_1336	Unm	Unm	No
18S	1337	18S_1337	Unm	Unm	No
18S	1338	18S_1338	Unm	Unm	No
18S	1339	18S_1339	Unm	Unm	No
18S	1340	18S_1340	Unm	Unm	No
18S	1341	18S_1341	Unm	Unm	No
18S	1342	18S_1342	Unm	Unm	No
18S	1343	18S_1343	Unm	Unm	Yes
18S	1344	18S_1344	Unm	Unm	Yes
18S	1352	18S_1352	Unm	Unm	No
18S	1353	18S_1353	Unm	Unm	No
18S	1354	18S_1354	Unm	Unm	No
18S	1355	18S_1355	Unm	Unm	No
18S	1356	18S_1356	Unm	Unm	No
18S	1357	18S_1357	Unm	Unm	Maybe
18S	1358	18S_1358	Unm	Unm	Maybe
18S	1359	18S_1359	Unm	Unm	Maybe
18S	1360	18S_1360	Unm	Unm	Maybe
18S	1361	18S_1361	Unm	Unm	Maybe
18S	1362	18S_1362	Unm	Unm	No
18S	1363	18S_1363	Unm	Unm	Yes
18S	1364	18S_1364	Unm	Unm	Yes
18S	1370	18S_1370	Unm	Unm	Yes
18S	1371	18S_1371	Unm	Unm	Yes
18S	1372	18S_1372	Unm	Unm	No
18S	1373	18S_1373	Unm	Unm	No
18S	1374	18S_1374	Unm	Unm	No
18S	1375	18S_1375	Unm	Unm	No
18S	1376	18S_1376	Unm	Unm	No
18S	1377	18S_1377	Unm	Unm	No
18S	1378	18S_1378	Unm	Unm	No
18S	1379	18S_1379	Unm	Unm	No
18S	1380	18S_1380	Unm	Unm	No
18S	1381	18S_1381	Unm	Unm	No
18S	1382	18S_1382	Unm	Unm	No
18S	1383	18S_1383	Unm	Unm	No
18S	1384	18S_1384	Unm	Unm	No
18S	1385	18S_1385	Unm	Unm	No
18S	1386	18S_1386	Unm	Unm	No
18S	1387	18S_1387	Unm	Unm	No
18S	1388	18S_1388	Unm	Unm	No
18S	1389	18S_1389	Unm	Unm	No
18S	1390	18S_1390	Unm	Unm	No
18S	1391	18S_1391	Unm	Unm	No
18S	1392	18S_1392	Unm	Unm	No
18S	1393	18S_1393	Unm	Unm	No
18S	1394	18S_1394	Unm	Unm	No
18S	1395	18S_1395	Unm	Unm	No
18S	1396	18S_1396	Unm	Unm	No
18S	1397	18S_1397	Unm	Unm	No
18S	1398	18S_1398	Unm	Unm	Maybe
18S	1399	18S_1399	Unm	Unm	Maybe
18S	1400	18S_1400	Unm	Unm	Maybe
18S	1401	18S_1401	Unm	Unm	Maybe
18S	1402	18S_1402	Unm	Unm	Maybe
18S	1403	18S_1403	Unm	Unm	No
18S	1404	18S_1404	Unm	Unm	No
18S	1405	18S_1405	Unm	Unm	No
18S	1406	18S_1406	Unm	Unm	No
18S	1407	18S_1407	Unm	Unm	No
18S	1408	18S_1408	Unm	Unm	No
18S	1409	18S_1409	Unm	Unm	No
18S	1410	18S_1410	Unm	Unm	No
18S	1411	18S_1411	Unm	Unm	No
18S	1412	18S_1412	Unm	Unm	No
18S	1413	18S_1413	Unm	Unm	No
18S	1414	18S_1414	Unm	Unm	No
18S	1415	18S_1415	Unm	Unm	No
18S	1416	18S_1416	Unm	Unm	No
18S	1417	18S_1417	Unm	Unm	No
18S	1418	18S_1418	Unm	Unm	No
18S	1419	18S_1419	Unm	Unm	No
18S	1420	18S_1420	Unm	Unm	No
18S	1421	18S_1421	Unm	Unm	No
18S	1422	18S_1422	Unm	Unm	No
18S	1423	18S_1423	Unm	Unm	No
18S	1424	18S_1424	Unm	Unm	No
18S	1425	18S_1425	Unm	Unm	No
18S	1426	18S_1426	Unm	Unm	No
18S	1427	18S_1427	Unm	Unm	No
18S	1428	18S_1428	Unm	Unm	No
18S	1429	18S_1429	Unm	Unm	No
18S	1430	18S_1430	Unm	Unm	No
18S	1431	18S_1431	Unm	Unm	No
18S	1432	18S_1432	Unm	Unm	No
18S	1433	18S_1433	Unm	Unm	No
18S	1434	18S_1434	Unm	Unm	No
18S	1435	18S_1435	Unm	Unm	No
18S	1436	18S_1436	Unm	Unm	No
18S	1437	18S_1437	Unm	Unm	No
18S	1438	18S_1438	Unm	Unm	No
18S	1439	18S_1439	Unm	Unm	No
18S	1440	18S_1440	Unm	Unm	No
18S	1441	18S_1441	Unm	Unm	Yes
18S	1442	18S_1442	Unm	Unm	Yes
18S	1448	18S_1448	Unm	Unm	Yes
18S	1449	18S_1449	Unm	Unm	Yes
18S	1450	18S_1450	Unm	Unm	No
18S	1451	18S_1451	Unm	Unm	No
18S	1452	18S_1452	Unm	Unm	No
18S	1453	18S_1453	Unm	Unm	No
18S	1454	18S_1454	Unm	Unm	No
18S	1455	18S_1455	Unm	Unm	No
18S	1456	18S_1456	Unm	Unm	No
18S	1457	18S_1457	Unm	Unm	No
18S	1458	18S_1458	Unm	Unm	No
18S	1459	18S_1459	Unm	Unm	No
18S	1460	18S_1460	Unm	Unm	No
18S	1461	18S_1461	Unm	Unm	No
18S	1462	18S_1462	Unm	Unm	No
18S	1463	18S_1463	Unm	Unm	No
18S	1464	18S_1464	Unm	Unm	No
18S	1465	18S_1465	Unm	Unm	No
18S	1466	18S_1466	Unm	Unm	No
18S	1467	18S_1467	Unm	Unm	No
18S	1468	18S_1468	Unm	Unm	No
18S	1469	18S_1469	Unm	Unm	No
18S	1470	18S_1470	Unm	Unm	No
18S	1471	18S_1471	Unm	Unm	No
18S	1472	18S_1472	Unm	Unm	No
18S	1473	18S_1473	Unm	Unm	No
18S	1474	18S_1474	Unm	Unm	No
18S	1475	18S_1475	Unm	Unm	No
18S	1476	18S_1476	Unm	Unm	No
18S	1477	18S_1477	Unm	Unm	No
18S	1478	18S_1478	Unm	Unm	No
18S	1479	18S_1479	Unm	Unm	No
18S	1480	18S_1480	Unm	Unm	No
18S	1481	18S_1481	Unm	Unm	No
18S	1482	18S_1482	Unm	Unm	No
18S	1483	18S_1483	Unm	Unm	No
18S	1484	18S_1484	Unm	Unm	No
18S	1485	18S_1485	Unm	Unm	No
18S	1486	18S_1486	Unm	Unm	No
18S	1487	18S_1487	Unm	Unm	No
18S	1488	18S_1488	Unm	Unm	No
18S	1489	18S_1489	Unm	Unm	No
18S	1490	18S_1490	Unm	Unm	No
18S	1491	18S_1491	Unm	Unm	No
18S	1492	18S_1492	Unm	Unm	No
18S	1493	18S_1493	Unm	Unm	No
18S	1494	18S_1494	Unm	Unm	No
18S	1495	18S_1495	Unm	Unm	No
18S	1496	18S_1496	Unm	Unm	No
18S	1497	18S_1497	Unm	Unm	No
18S	1498	18S_1498	Unm	Unm	No
18S	1499	18S_1499	Unm	Unm	No
18S	1500	18S_1500	Unm	Unm	No
18S	1501	18S_1501	Unm	Unm	No
18S	1502	18S_1502	Unm	Unm	No
18S	1503	18S_1503	Unm	Unm	No
18S	1504	18S_1504	Unm	Unm	No
18S	1505	18S_1505	Unm	Unm	No
18S	1506	18S_1506	Unm	Unm	No
18S	1507	18S_1507	Unm	Unm	No
18S	1508	18S_1508	Unm	Unm	No
18S	1509	18S_1509	Unm	Unm	No
18S	1510	18S_1510	Unm	Unm	No
18S	1511	18S_1511	Unm	Unm	No
18S	1512	18S_1512	Unm	Unm	No
18S	1513	18S_1513	Unm	Unm	No
18S	1514	18S_1514	Unm	Unm	No
18S	1515	18S_1515	Unm	Unm	No
18S	1516	18S_1516	Unm	Unm	No
18S	1517	18S_1517	Unm	Unm	No
18S	1518	18S_1518	Unm	Unm	No
18S	1519	18S_1519	Unm	Unm	No
18S	1520	18S_1520	Unm	Unm	No
18S	1521	18S_1521	Unm	Unm	No
18S	1522	18S_1522	Unm	Unm	No
18S	1523	18S_1523	Unm	Unm	No
18S	1524	18S_1524	Unm	Unm	No
18S	1525	18S_1525	Unm	Unm	No
18S	1526	18S_1526	Unm	Unm	No
18S	1527	18S_1527	Unm	Unm	No
18S	1528	18S_1528	Unm	Unm	No
18S	1529	18S_1529	Unm	Unm	No
18S	1530	18S_1530	Unm	Unm	No
18S	1531	18S_1531	Unm	Unm	No
18S	1532	18S_1532	Unm	Unm	No
18S	1533	18S_1533	Unm	Unm	No
18S	1534	18S_1534	Unm	Unm	No
18S	1535	18S_1535	Unm	Unm	No
18S	1536	18S_1536	Unm	Unm	No
18S	1537	18S_1537	Unm	Unm	No
18S	1538	18S_1538	Unm	Unm	No
18S	1539	18S_1539	Unm	Unm	No
18S	1540	18S_1540	Unm	Unm	No
18S	1541	18S_1541	Unm	Unm	No
18S	1542	18S_1542	Unm	Unm	No
18S	1543	18S_1543	Unm	Unm	No
18S	1544	18S_1544	Unm	Unm	No
18S	1545	18S_1545	Unm	Unm	No
18S	1546	18S_1546	Unm	Unm	No
18S	1547	18S_1547	Unm	Unm	No
18S	1548	18S_1548	Unm	Unm	No
18S	1549	18S_1549	Unm	Unm	No
18S	1550	18S_1550	Unm	Unm	No
18S	1551	18S_1551	Unm	Unm	No
18S	1552	18S_1552	Unm	Unm	No
18S	1553	18S_1553	Unm	Unm	No
18S	1554	18S_1554	Unm	Unm	No
18S	1555	18S_1555	Unm	Unm	No
18S	1556	18S_1556	Unm	Unm	No
18S	1557	18S_1557	Unm	Unm	No
18S	1558	18S_1558	Unm	Unm	No
18S	1559	18S_1559	Unm	Unm	No
18S	1560	18S_1560	Unm	Unm	No
18S	1561	18S_1561	Unm	Unm	No
18S	1562	18S_1562	Unm	Unm	No
18S	1563	18S_1563	Unm	Unm	No
18S	1564	18S_1564	Unm	Unm	No
18S	1565	18S_1565	Unm	Unm	No
18S	1566	18S_1566	Unm	Unm	No
18S	1567	18S_1567	Unm	Unm	No
18S	1568	18S_1568	Unm	Unm	No
18S	1569	18S_1569	Unm	Unm	No
18S	1570	18S_1570	Unm	Unm	No
18S	1571	18S_1571	Unm	Unm	No
18S	1572	18S_1572	Unm	Unm	No
18S	1573	18S_1573	Unm	Unm	No
18S	1574	18S_1574	Unm	Unm	No
18S	1575	18S_1575	Unm	Unm	No
18S	1576	18S_1576	Unm	Unm	No
18S	1577	18S_1577	Unm	Unm	No
18S	1578	18S_1578	Unm	Unm	No
18S	1579	18S_1579	Unm	Unm	No
18S	1580	18S_1580	Unm	Unm	No
18S	1581	18S_1581	Unm	Unm	No
18S	1582	18S_1582	Unm	Unm	No
18S	1583	18S_1583	Unm	Unm	No
18S	1584	18S_1584	Unm	Unm	No
18S	1585	18S_1585	Unm	Unm	No
18S	1586	18S_1586	Unm	Unm	No
18S	1587	18S_1587	Unm	Unm	No
18S	1588	18S_1588	Unm	Unm	No
18S	1589	18S_1589	Unm	Unm	No
18S	1590	18S_1590	Unm	Unm	No
18S	1591	18S_1591	Unm	Unm	No
18S	1592	18S_1592	Unm	Unm	No
18S	1593	18S_1593	Unm	Unm	No
18S	1594	18S_1594	Unm	Unm	No
18S	1595	18S_1595	Unm	Unm	No
18S	1596	18S_1596	Unm	Unm	No
18S	1597	18S_1597	Unm	Unm	No
18S	1598	18S_1598	Unm	Unm	No
18S	1599	18S_1599	Unm	Unm	No
18S	1600	18S_1600	Unm	Unm	No
18S	1601	18S_1601	Unm	Unm	No
18S	1602	18S_1602	Unm	Unm	No
18S	1603	18S_1603	Unm	Unm	No
18S	1604	18S_1604	Unm	Unm	No
18S	1605	18S_1605	Unm	Unm	No
18S	1606	18S_1606	Unm	Unm	No
18S	1607	18S_1607	Unm	Unm	No
18S	1608	18S_1608	Unm	Unm	No
18S	1609	18S_1609	Unm	Unm	No
18S	1610	18S_1610	Unm	Unm	No
18S	1611	18S_1611	Unm	Unm	No
18S	1612	18S_1612	Unm	Unm	No
18S	1613	18S_1613	Unm	Unm	No
18S	1614	18S_1614	Unm	Unm	No
18S	1615	18S_1615	Unm	Unm	No
18S	1616	18S_1616	Unm	Unm	No
18S	1617	18S_1617	Unm	Unm	No
18S	1618	18S_1618	Unm	Unm	No
18S	1619	18S_1619	Unm	Unm	No
18S	1620	18S_1620	Unm	Unm	No
18S	1621	18S_1621	Unm	Unm	Yes
18S	1622	18S_1622	Unm	Unm	Yes
18S	1628	18S_1628	Unm	Unm	Yes
18S	1629	18S_1629	Unm	Unm	Yes
18S	1630	18S_1630	Unm	Unm	No
18S	1631	18S_1631	Unm	Unm	No
18S	1632	18S_1632	Unm	Unm	No
18S	1633	18S_1633	Unm	Unm	No
18S	1634	18S_1634	Unm	Unm	No
18S	1635	18S_1635	Unm	Unm	No
18S	1636	18S_1636	Unm	Unm	No
18S	1637	18S_1637	Unm	Unm	No
18S	1638	18S_1638	Unm	Unm	No
18S	1639	18S_1639	Unm	Unm	Yes
18S	1640	18S_1640	Unm	Unm	Yes
18S	1646	18S_1646	Unm	Unm	Yes
18S	1647	18S_1647	Unm	Unm	Yes
18S	1648	18S_1648	Unm	Unm	No
18S	1649	18S_1649	Unm	Unm	No
18S	1650	18S_1650	Unm	Unm	No
18S	1651	18S_1651	Unm	Unm	No
18S	1652	18S_1652	Unm	Unm	No
18S	1653	18S_1653	Unm	Unm	No
18S	1654	18S_1654	Unm	Unm	No
18S	1655	18S_1655	Unm	Unm	No
18S	1656	18S_1656	Unm	Unm	No
18S	1657	18S_1657	Unm	Unm	No
18S	1658	18S_1658	Unm	Unm	No
18S	1659	18S_1659	Unm	Unm	No
18S	1660	18S_1660	Unm	Unm	No
18S	1661	18S_1661	Unm	Unm	No
18S	1662	18S_1662	Unm	Unm	No
18S	1663	18S_1663	Unm	Unm	No
18S	1664	18S_1664	Unm	Unm	No
18S	1665	18S_1665	Unm	Unm	No
18S	1666	18S_1666	Unm	Unm	No
18S	1667	18S_1667	Unm	Unm	No
18S	1668	18S_1668	Unm	Unm	No
18S	1669	18S_1669	Unm	Unm	No
18S	1670	18S_1670	Unm	Unm	No
18S	1671	18S_1671	Unm	Unm	No
18S	1672	18S_1672	Unm	Unm	No
18S	1673	18S_1673	Unm	Unm	No
18S	1674	18S_1674	Unm	Unm	No
18S	1675	18S_1675	Unm	Unm	No
18S	1676	18S_1676	Unm	Unm	No
18S	1677	18S_1677	Unm	Unm	No
18S	1678	18S_1678	Unm	Unm	No
18S	1679	18S_1679	Unm	Unm	No
18S	1680	18S_1680	Unm	Unm	No
18S	1681	18S_1681	Unm	Unm	No
18S	1682	18S_1682	Unm	Unm	No
18S	1683	18S_1683	Unm	Unm	No
18S	1684	18S_1684	Unm	Unm	No
18S	1685	18S_1685	Unm	Unm	No
18S	1686	18S_1686	Unm	Unm	No
18S	1687	18S_1687	Unm	Unm	No
18S	1688	18S_1688	Unm	Unm	Yes
18S	1689	18S_1689	Unm	Unm	Yes
18S	1695	18S_1695	Unm	Unm	Yes
18S	1696	18S_1696	Unm	Unm	Yes
18S	1697	18S_1697	Unm	Unm	No
18S	1698	18S_1698	Unm	Unm	No
18S	1699	18S_1699	Unm	Unm	No
18S	1700	18S_1700	Unm	Unm	No
18S	1701	18S_1701	Unm	Unm	No
18S	1702	18S_1702	Unm	Unm	No
18S	1703	18S_1703	Unm	Unm	No
18S	1704	18S_1704	Unm	Unm	No
18S	1705	18S_1705	Unm	Unm	No
18S	1706	18S_1706	Unm	Unm	No
18S	1707	18S_1707	Unm	Unm	No
18S	1708	18S_1708	Unm	Unm	No
18S	1709	18S_1709	Unm	Unm	No
18S	1710	18S_1710	Unm	Unm	No
18S	1711	18S_1711	Unm	Unm	No
18S	1712	18S_1712	Unm	Unm	No
18S	1713	18S_1713	Unm	Unm	No
18S	1714	18S_1714	Unm	Unm	No
18S	1715	18S_1715	Unm	Unm	No
18S	1716	18S_1716	Unm	Unm	No
18S	1717	18S_1717	Unm	Unm	No
18S	1718	18S_1718	Unm	Unm	No
18S	1719	18S_1719	Unm	Unm	No
18S	1720	18S_1720	Unm	Unm	No
18S	1721	18S_1721	Unm	Unm	No
18S	1722	18S_1722	Unm	Unm	No
18S	1723	18S_1723	Unm	Unm	No
18S	1724	18S_1724	Unm	Unm	No
18S	1725	18S_1725	Unm	Unm	No
18S	1726	18S_1726	Unm	Unm	No
18S	1727	18S_1727	Unm	Unm	No
18S	1728	18S_1728	Unm	Unm	No
18S	1729	18S_1729	Unm	Unm	No
18S	1730	18S_1730	Unm	Unm	No
18S	1731	18S_1731	Unm	Unm	No
18S	1732	18S_1732	Unm	Unm	No
18S	1733	18S_1733	Unm	Unm	No
18S	1734	18S_1734	Unm	Unm	No
18S	1735	18S_1735	Unm	Unm	No
18S	1736	18S_1736	Unm	Unm	No
18S	1737	18S_1737	Unm	Unm	No
18S	1738	18S_1738	Unm	Unm	No
18S	1739	18S_1739	Unm	Unm	No
18S	1740	18S_1740	Unm	Unm	No
18S	1741	18S_1741	Unm	Unm	No
18S	1742	18S_1742	Unm	Unm	No
18S	1743	18S_1743	Unm	Unm	No
18S	1744	18S_1744	Unm	Unm	No
18S	1745	18S_1745	Unm	Unm	No
18S	1746	18S_1746	Unm	Unm	No
18S	1747	18S_1747	Unm	Unm	No
18S	1748	18S_1748	Unm	Unm	No
18S	1749	18S_1749	Unm	Unm	No
18S	1750	18S_1750	Unm	Unm	No
18S	1751	18S_1751	Unm	Unm	No
18S	1752	18S_1752	Unm	Unm	No
18S	1753	18S_1753	Unm	Unm	No
18S	1754	18S_1754	Unm	Unm	No
18S	1755	18S_1755	Unm	Unm	No
18S	1756	18S_1756	Unm	Unm	No
18S	1757	18S_1757	Unm	Unm	No
18S	1758	18S_1758	Unm	Unm	No
18S	1759	18S_1759	Unm	Unm	No
18S	1760	18S_1760	Unm	Unm	No
18S	1761	18S_1761	Unm	Unm	No
18S	1762	18S_1762	Unm	Unm	No
18S	1763	18S_1763	Unm	Unm	No
18S	1764	18S_1764	Unm	Unm	No
18S	1765	18S_1765	Unm	Unm	No
18S	1766	18S_1766	Unm	Unm	No
18S	1767	18S_1767	Unm	Unm	No
18S	1768	18S_1768	Unm	Unm	No
18S	1769	18S_1769	Unm	Unm	No
18S	1770	18S_1770	Unm	Unm	No
18S	1771	18S_1771	Unm	Unm	No
18S	1772	18S_1772	Unm	Unm	No
18S	1773	18S_1773	Unm	Unm	No
18S	1774	18S_1774	Unm	Unm	No
18S	1775	18S_1775	Unm	Unm	No
18S	1776	18S_1776	Unm	Unm	No
18S	1777	18S_1777	Unm	Unm	No
18S	1778	18S_1778	Unm	Unm	No
18S	1779	18S_1779	Unm	Unm	No
18S	1780	18S_1780	Unm	Unm	No
18S	1781	18S_1781	Unm	Unm	No
18S	1782	18S_1782	Unm	Unm	No
18S	1783	18S_1783	Unm	Unm	No
18S	1784	18S_1784	Unm	Unm	No
18S	1785	18S_1785	Unm	Unm	No
18S	1786	18S_1786	Unm	Unm	No
18S	1787	18S_1787	Unm	Unm	No
18S	1788	18S_1788	Unm	Unm	No
18S	1789	18S_1789	Unm	Unm	No
18S	1790	18S_1790	Unm	Unm	No
18S	1791	18S_1791	Unm	Unm	No
18S	1792	18S_1792	Unm	Unm	No
18S	1793	18S_1793	Unm	Unm	No
18S	1794	18S_1794	Unm	Unm	No
18S	1795	18S_1795	Unm	Unm	No
18S	1796	18S_1796	Unm	Unm	No
18S	1797	18S_1797	Unm	Unm	No
18S	1798	18S_1798	Unm	Unm	No
18S	1799	18S_1799	Unm	Unm	No
18S	1800	18S_1800	Unm	Unm	No
18S	1801	18S_1801	Unm	Unm	No
18S	1802	18S_1802	Unm	Unm	No
18S	1803	18S_1803	Unm	Unm	No
18S	1804	18S_1804	Unm	Unm	No
18S	1805	18S_1805	Unm	Unm	No
18S	1806	18S_1806	Unm	Unm	No
18S	1807	18S_1807	Unm	Unm	No
18S	1808	18S_1808	Unm	Unm	No
18S	1809	18S_1809	Unm	Unm	No
18S	1810	18S_1810	Unm	Unm	No
18S	1811	18S_1811	Unm	Unm	No
18S	1812	18S_1812	Unm	Unm	No
18S	1813	18S_1813	Unm	Unm	No
18S	1814	18S_1814	Unm	Unm	No
18S	1815	18S_1815	Unm	Unm	No
18S	1816	18S_1816	Unm	Unm	No
18S	1817	18S_1817	Unm	Unm	No
18S	1818	18S_1818	Unm	Unm	No
18S	1819	18S_1819	Unm	Unm	No
18S	1820	18S_1820	Unm	Unm	No
18S	1821	18S_1821	Unm	Unm	No
18S	1822	18S_1822	Unm	Unm	No
18S	1823	18S_1823	Unm	Unm	No
18S	1824	18S_1824	Unm	Unm	No
18S	1825	18S_1825	Unm	Unm	No
18S	1826	18S_1826	Unm	Unm	No
18S	1827	18S_1827	Unm	Unm	No
18S	1828	18S_1828	Unm	Unm	No
18S	1829	18S_1829	Unm	Unm	No
18S	1830	18S_1830	Unm	Unm	No
18S	1831	18S_1831	Unm	Unm	No
18S	1832	18S_1832	Unm	Unm	No
18S	1833	18S_1833	Unm	Unm	No
18S	1834	18S_1834	Unm	Unm	No
18S	1835	18S_1835	Unm	Unm	No
18S	1836	18S_1836	Unm	Unm	No
18S	1837	18S_1837	Unm	Unm	No
18S	1838	18S_1838	Unm	Unm	No
18S	1839	18S_1839	Unm	Unm	No
18S	1840	18S_1840	Unm	Unm	No
18S	1841	18S_1841	Unm	Unm	No
18S	1842	18S_1842	Unm	Unm	No
18S	1843	18S_1843	Unm	Unm	No
18S	1844	18S_1844	Unm	Unm	No
18S	1845	18S_1845	Unm	Unm	No
18S	1846	18S_1846	Unm	Unm	No
18S	1847	18S_1847	Unm	Unm	No
18S	1848	18S_1848	Unm	Unm	No
18S	1849	18S_1849	Unm	Unm	No
18S	1850	18S_1850	Unm	Unm	No
18S	1851	18S_1851	Unm	Unm	No
18S	1852	18S_1852	Unm	Unm	No
18S	1853	18S_1853	Unm	Unm	No
18S	1854	18S_1854	Unm	Unm	No
18S	1855	18S_1855	Unm	Unm	No
18S	1856	18S_1856	Unm	Unm	No
18S	1857	18S_1857	Unm	Unm	No
18S	1858	18S_1858	Unm	Unm	No
18S	1859	18S_1859	Unm	Unm	No
18S	1860	18S_1860	Unm	Unm	No
18S	1861	18S_1861	Unm	Unm	No
18S	1862	18S_1862	Unm	Unm	No
18S	1863	18S_1863	Unm	Unm	No
18S	1864	18S_1864	Unm	Unm	No
18S	1865	18S_1865	Unm	Unm	No
18S	1866	18S_1866	Unm	Unm	No
18S	1867	18S_1867	Unm	Unm	No
18S	1868	18S_1868	Unm	Unm	No
18S	1869	18S_1869	Unm	Unm	No
18S	1870	18S_1870	Unm	Unm	No
28S	1	28S_1	Unm	Unm	No
28S	2	28S_2	Unm	Unm	No
28S	3	28S_3	Unm	Unm	No
28S	4	28S_4	Unm	Unm	No
28S	5	28S_5	Unm	Unm	No
28S	6	28S_6	Unm	Unm	No
28S	7	28S_7	Unm	Unm	No
28S	8	28S_8	Unm	Unm	No
28S	9	28S_9	Unm	Unm	No
28S	10	28S_10	Unm	Unm	No
28S	11	28S_11	Unm	Unm	No
28S	12	28S_12	Unm	Unm	No
28S	13	28S_13	Unm	Unm	No
28S	14	28S_14	Unm	Unm	No
28S	15	28S_15	Unm	Unm	No
28S	16	28S_16	Unm	Unm	No
28S	17	28S_17	Unm	Unm	No
28S	18	28S_18	Unm	Unm	No
28S	19	28S_19	Unm	Unm	No
28S	20	28S_20	Unm	Unm	No
28S	21	28S_21	Unm	Unm	No
28S	22	28S_22	Unm	Unm	No
28S	23	28S_23	Unm	Unm	No
28S	24	28S_24	Unm	Unm	No
28S	25	28S_25	Unm	Unm	No
28S	26	28S_26	Unm	Unm	No
28S	27	28S_27	Unm	Unm	No
28S	28	28S_28	Unm	Unm	No
28S	29	28S_29	Unm	Unm	No
28S	30	28S_30	Unm	Unm	No
28S	31	28S_31	Unm	Unm	No
28S	32	28S_32	Unm	Unm	No
28S	33	28S_33	Unm	Unm	No
28S	34	28S_34	Unm	Unm	No
28S	35	28S_35	Unm	Unm	No
28S	36	28S_36	Unm	Unm	No
28S	37	28S_37	Unm	Unm	No
28S	38	28S_38	Unm	Unm	No
28S	39	28S_39	Unm	Unm	No
28S	40	28S_40	Unm	Unm	No
28S	41	28S_41	Unm	Unm	No
28S	42	28S_42	Unm	Unm	No
28S	43	28S_43	Unm	Unm	Maybe
28S	44	28S_44	Unm	Unm	Maybe
28S	45	28S_45	Unm	Unm	Maybe
28S	46	28S_46	Unm	Unm	Maybe
28S	47	28S_47	Unm	Unm	Maybe
28S	48	28S_48	Unm	Unm	No
28S	49	28S_49	Unm	Unm	No
28S	50	28S_50	Unm	Unm	No
28S	51	28S_51	Unm	Unm	No
28S	52	28S_52	Unm	Unm	No
28S	53	28S_53	Unm	Unm	No
28S	54	28S_54	Unm	Unm	No
28S	55	28S_55	Unm	Unm	No
28S	56	28S_56	Unm	Unm	No
28S	57	28S_57	Unm	Unm	No
28S	58	28S_58	Unm	Unm	No
28S	59	28S_59	Unm	Unm	No
28S	60	28S_60	Unm	Unm	No
28S	61	28S_61	Unm	Unm	No
28S	62	28S_62	Unm	Unm	No
28S	63	28S_63	Unm	Unm	No
28S	64	28S_64	Unm	Unm	No
28S	65	28S_65	Unm	Unm	No
28S	66	28S_66	Unm	Unm	No
28S	67	28S_67	Unm	Unm	No
28S	68	28S_68	Unm	Unm	No
28S	69	28S_69	Unm	Unm	No
28S	70	28S_70	Unm	Unm	No
28S	71	28S_71	Unm	Unm	No
28S	72	28S_72	Unm	Unm	No
28S	73	28S_73	Unm	Unm	No
28S	74	28S_74	Unm	Unm	No
28S	75	28S_75	Unm	Unm	No
28S	76	28S_76	Unm	Unm	No
28S	77	28S_77	Unm	Unm	No
28S	78	28S_78	Unm	Unm	No
28S	79	28S_79	Unm	Unm	No
28S	80	28S_80	Unm	Unm	No
28S	81	28S_81	Unm	Unm	No
28S	82	28S_82	Unm	Unm	No
28S	83	28S_83	Unm	Unm	No
28S	84	28S_84	Unm	Unm	No
28S	85	28S_85	Unm	Unm	No
28S	86	28S_86	Unm	Unm	No
28S	87	28S_87	Unm	Unm	No
28S	88	28S_88	Unm	Unm	No
28S	89	28S_89	Unm	Unm	No
28S	90	28S_90	Unm	Unm	No
28S	91	28S_91	Unm	Unm	No
28S	92	28S_92	Unm	Unm	No
28S	93	28S_93	Unm	Unm	No
28S	94	28S_94	Unm	Unm	No
28S	95	28S_95	Unm	Unm	No
28S	96	28S_96	Unm	Unm	No
28S	97	28S_97	Unm	Unm	No
28S	98	28S_98	Unm	Unm	No
28S	99	28S_99	Unm	Unm	No
28S	100	28S_100	Unm	Unm	No
28S	101	28S_101	Unm	Unm	No
28S	102	28S_102	Unm	Unm	No
28S	103	28S_103	Unm	Unm	No
28S	104	28S_104	Unm	Unm	No
28S	105	28S_105	Unm	Unm	No
